premium (2)
TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Arizona Cardinals,11 - 7,460,400,76.6,73.8,82.8,66.3,78.7,68.0,52.4,62.2,49.4,51.3,77.1,58.6,85.8
Atlanta Falcons,7 - 10,313,459,69.6,74.7,72.1,52.6,76.5,62.2,80.4,48.8,43.1,44.1,52.3,51.5,82.8
Baltimore Ravens,8 - 9,387,392,80.4,75.5,66.0,69.7,72.2,82.5,72.3,62.5,61.1,49.1,70.3,48.7,87.5
Buffalo Bills,12 - 7,566,348,89.0,81.1,81.1,69.0,79.4,92.7,58.4,71.8,55.3,57.9,75.6,83.5,88.3
Carolina Panthers,5 - 12,304,404,63.2,60.4,50.1,53.9,63.1,72.6,58.7,62.6,52.2,50.5,74.3,62.7,76.3
Chicago Bears,6 - 11,311,407,68.8,70.1,61.6,66.8,69.5,82.5,63.4,52.0,37.1,53.0,73.3,56.8,90.6
Cincinnati Bengals,13 - 8,552,458,87.8,80.6,90.0,53.1,82.6,82.2,64.1,67.0,47.8,54.6,69.4,77.9,91.0
Cleveland Browns,8 - 9,349,371,86.6,77.5,61.4,70.3,68.8,89.9,85.6,75.5,54.4,58.2,78.5,90.7,90.5
Dallas Cowboys,12 - 6,547,381,92.4,88.4,82.6,79.8,83.8,83.6,87.1,66.6,43.3,63.1,78.7,80.5,83.7
Denver Broncos,7 - 10,335,322,75.6,75.7,68.7,71.4,74.2,85.2,67.1,57.9,51.6,56.3,61.6,60.1,80.6
Detroit Lions,3 - 13 - 1,325,467,62.4,69.4,60.0,65.3,71.7,71.7,66.8,44.4,36.2,32.7,64.7,36.0,80.6
Green Bay Packers,13 - 5,460,384,89.2,82.2,79.9,73.6,80.1,91.2,61.8,76.7,55.8,78.1,84.2,81.3,59.8
Houston Texans,4 - 13,280,452,55.6,61.6,56.4,59.0,71.6,60.0,48.0,48.5,45.1,43.4,72.4,32.0,71.9
Indianapolis Colts,9 - 8,451,365,84.5,75.6,66.7,59.2,70.8,89.4,78.6,73.6,71.8,64.0,71.3,68.9,91.0
Jacksonville Jaguars,3 - 14,253,457,59.2,64.4,59.5,70.2,63.7,72.9,57.8,50.7,40.6,53.5,68.1,46.3,68.4
Kansas City Chiefs,14 - 6,588,448,89.9,82.4,75.2,75.8,78.5,77.4,86.0,69.7,53.3,69.1,70.6,81.4,90.7
Las Vegas Raiders,10 - 8,393,465,78.8,74.9,77.5,64.0,78.7,78.7,55.2,64.1,46.4,61.6,79.7,68.1,76.7
Los Angeles Chargers,9 - 8,474,459,80.2,80.7,86.0,67.3,76.2,73.5,75.6,60.7,50.6,48.5,74.1,61.6,68.6
Los Angeles Rams,16 - 5,567,447,94.5,85.7,84.1,81.2,83.3,70.7,77.0,87.9,87.4,66.0,90.0,75.9,79.9
Miami Dolphins,9 - 8,341,373,75.7,67.8,71.5,51.8,73.9,64.7,53.7,73.9,66.6,49.4,73.4,76.5,81.5
Minnesota Vikings,8 - 9,425,426,80.9,78.1,84.9,55.0,80.6,68.7,69.2,62.6,49.9,77.0,72.7,63.1,90.0
New England Patriots,10 - 8,479,350,92.2,85.9,80.6,70.9,80.0,91.2,79.8,72.1,60.4,76.7,68.4,84.8,90.6
New Orleans Saints,9 - 8,364,335,83.8,69.8,63.2,64.8,70.4,82.3,60.1,81.8,82.5,54.9,68.9,87.3,91.5
New York Giants,4 - 13,258,416,60.5,60.5,53.4,52.9,63.5,65.1,64.0,59.0,47.1,76.1,64.8,63.2,65.0
New York Jets,4 - 13,310,504,62.8,68.6,56.2,64.4,65.7,82.1,74.1,46.1,38.0,64.0,68.8,37.9,91.0
Philadelphia Eagles,9 - 9,459,416,86.4,82.2,68.2,79.4,76.1,87.0,83.8,65.1,48.5,80.3,79.9,69.8,84.3
Pittsburgh Steelers,9 - 8 - 1,364,440,68.1,64.1,54.3,67.7,66.9,71.5,58.5,64.3,55.2,57.2,81.5,51.6,74.6
San Francisco 49ers,12 - 8,480,412,92.1,84.9,69.5,73.0,87.1,78.4,86.0,74.5,68.5,70.8,80.4,68.3,78.7
Seattle Seahawks,7 - 10,395,366,76.4,74.5,72.3,55.6,73.9,86.0,67.4,65.7,73.7,66.3,63.5,52.2,57.6
Tampa Bay Buccaneers,14 - 5,569,398,91.0,84.8,90.5,77.5,77.5,84.5,72.5,69.9,57.5,47.1,65.9,85.6,71.3
Tennessee Titans,12 - 6,435,373,84.5,78.0,81.0,54.3,75.7,77.9,75.5,71.4,59.9,59.5,66.3,83.7,87.8
Washington Football Team,7 - 10,335,434,77.8,73.2,58.5,78.3,70.7,64.6,80.2,66.9,70.6,72.7,74.6,50.1,76.0
