TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF
Arizona Cardinals,8 - 8,410,367,72.8,74.5,74.0,73.7,75.4,75.9,60.7,54.2,40.4
Atlanta Falcons,4 - 12,396,414,77.6,76.4,83.4,62.4,78.3,61.2,64.1,61.8,58.8
Baltimore Ravens,12 - 6,491,333,82.5,75.2,71.9,70.8,69.6,86.6,69.8,68.9,62.8
Buffalo Bills,15 - 4,569,440,91.2,86.5,87.7,73.7,87.0,81.6,69.6,63.9,42.5
Carolina Panthers,5 - 11,350,402,70.5,72.9,65.4,67.2,71.9,81.0,65.4,53.5,43.0
Chicago Bears,8 - 9,381,391,84.3,73.5,63.7,59.4,75.2,81.0,69.5,73.6,71.2
Cincinnati Bengals,4 - 11 - 1,311,424,71.9,69.8,69.0,58.3,71.9,67.1,65.0,60.4,45.3
Cleveland Browns,12 - 6,473,478,89.5,87.8,85.2,84.4,78.6,86.2,82.6,63.0,59.5
Dallas Cowboys,6 - 10,395,473,71.4,71.3,69.4,59.1,74.1,77.7,57.1,53.0,44.5
Denver Broncos,5 - 11,323,446,73.2,66.8,55.9,62.5,69.2,82.9,58.0,73.5,69.8
Detroit Lions,5 - 11,377,519,70.2,77.5,75.0,71.9,78.2,66.7,70.3,42.7,39.9
Green Bay Packers,14 - 4,567,418,93.2,90.7,94.5,80.2,79.4,87.7,75.5,71.8,62.3
Houston Texans,4 - 12,384,464,75.6,82.6,91.1,72.1,81.9,74.6,59.3,46.8,36.1
Indianapolis Colts,11 - 6,475,389,90.6,82.6,76.9,72.8,77.1,86.9,79.2,70.1,65.6
Jacksonville Jaguars,1 - 15,306,492,63.3,69.2,60.8,64.7,71.5,75.5,60.2,50.0,55.6
Kansas City Chiefs,16 - 3,542,434,88.9,86.7,90.0,70.3,85.3,85.6,71.0,62.4,51.6
Los Angeles Chargers,8 - 8,434,478,73.3,79.3,84.9,67.2,80.7,77.8,59.3,47.8,49.1
Los Angeles Rams,7 - 9,384,426,75.0,71.6,77.6,54.5,78.3,75.7,46.5,65.7,63.3
Miami Dolphins,11 - 7,420,348,92.3,79.7,72.0,70.8,75.4,80.4,78.7,84.7,68.5
Minnesota Vikings,10 - 6,404,338,77.0,72.7,68.7,63.5,76.5,77.1,55.9,65.3,65.5
New England Patriots,7 - 9,430,475,78.5,84.3,80.8,55.7,89.9,91.3,65.7,53.4,41.5
New Orleans Saints,7 - 9,326,353,79.5,76.2,64.9,67.7,70.6,83.0,76.2,63.3,55.5
New York Giants,13 - 5,523,376,90.8,79.8,69.7,70.0,78.0,86.8,74.3,76.5,80.7
New York Jets,6 - 10,280,357,75.0,70.0,73.5,50.7,71.0,73.8,62.5,67.8,72.8
Oakland Raiders,2 - 14,243,457,64.0,64.2,53.1,53.4,66.3,75.2,65.2,60.0,71.3
Philadelphia Eagles,4 - 11 - 1,334,418,70.5,67.3,58.4,67.5,65.6,75.0,67.1,63.6,59.2
Pittsburgh Steelers,12 - 5,453,360,84.0,69.6,69.9,74.3,69.9,66.7,50.3,83.2,71.0
San Francisco 49ers,6 - 10,376,390,85.9,78.8,61.1,60.4,82.1,80.0,81.0,71.4,66.7
Seattle Seahawks,12 - 5,479,401,90.1,81.9,88.8,64.5,79.1,81.8,72.3,71.0,79.7
Tampa Bay Buccaneers,15 - 5,615,433,92.9,86.3,91.9,68.1,81.6,83.8,71.0,75.9,66.4
Tennessee Titans,11 - 6,504,459,90.7,89.3,85.5,58.0,88.2,91.9,77.8,64.5,59.6
Washington Redskins,7 - 10,358,360,82.6,72.5,64.9,77.7,66.6,77.1,71.5,77.1,70.1
